"id";"date_lastfm";"position_lastfm";"no_of_listeners_lastfm";"track_id"
"283";"2006-10-01 00:00:00";"83";"1688";"4634"
"284";"2006-10-01 00:00:00";"84";"1686";"4635"
"285";"2006-10-01 00:00:00";"85";"1672";"4630"
"286";"2006-10-01 00:00:00";"86";"1671";"4637"
"287";"2006-10-01 00:00:00";"87";"1664";"4621"
"288";"2006-10-01 00:00:00";"88";"1660";"4639"
"289";"2006-10-01 00:00:00";"89";"1653";"4640"
"290";"2006-10-01 00:00:00";"90";"1652";"4632"
"291";"2006-10-01 00:00:00";"91";"1640";"4663"
"292";"2006-10-01 00:00:00";"92";"1624";"4642"
"293";"2006-10-01 00:00:00";"93";"1620";"4648"
"294";"2006-10-01 00:00:00";"94";"1619";"4652"
"295";"2006-10-01 00:00:00";"95";"1611";"4656"
"296";"2006-10-01 00:00:00";"96";"1608";"4624"
"297";"2006-10-01 00:00:00";"97";"1604";"4628"
"298";"2006-10-01 00:00:00";"98";"1599";"4009"
"299";"2006-10-01 00:00:00";"99";"1599";"4645"
"300";"2006-10-01 00:00:00";"100";"1599";"4641"
"301";"2006-10-08 00:00:00";"1";"5640";"3527"
"302";"2006-10-08 00:00:00";"2";"4307";"4574"
"303";"2006-10-08 00:00:00";"3";"3651";"4657"
"304";"2006-10-08 00:00:00";"4";"3556";"4575"
"305";"2006-10-08 00:00:00";"5";"3506";"3424"
"306";"2006-10-08 00:00:00";"6";"3442";"4658"
"307";"2006-10-08 00:00:00";"7";"3325";"3875"
"308";"2006-10-08 00:00:00";"8";"3244";"3360"
"309";"2006-10-08 00:00:00";"9";"3160";"3354"
"310";"2006-10-08 00:00:00";"10";"3097";"4662"
"311";"2006-10-08 00:00:00";"11";"3017";"3561"
"312";"2006-10-08 00:00:00";"12";"2901";"4660"
"313";"2006-10-08 00:00:00";"13";"2876";"4576"
"314";"2006-10-08 00:00:00";"14";"2724";"4577"
"315";"2006-10-08 00:00:00";"15";"2700";"4664"
"316";"2006-10-08 00:00:00";"16";"2695";"4579"
"317";"2006-10-08 00:00:00";"17";"2692";"4578"
"318";"2006-10-08 00:00:00";"18";"2584";"3566"
"319";"2006-10-08 00:00:00";"19";"2576";"4580"
"320";"2006-10-08 00:00:00";"20";"2535";"4581"
"321";"2006-10-08 00:00:00";"21";"2510";"4665"
"322";"2006-10-08 00:00:00";"22";"2502";"4584"
"323";"2006-10-08 00:00:00";"23";"2487";"4582"
"324";"2006-10-08 00:00:00";"24";"2457";"4583"
"325";"2006-10-08 00:00:00";"25";"2417";"4588"
"326";"2006-10-08 00:00:00";"26";"2417";"4666"
"327";"2006-10-08 00:00:00";"27";"2388";"4667"
"328";"2006-10-08 00:00:00";"28";"2365";"4595"
"329";"2006-10-08 00:00:00";"29";"2351";"4201"
"330";"2006-10-08 00:00:00";"30";"2350";"4332"
"331";"2006-10-08 00:00:00";"31";"2348";"4587"
"332";"2006-10-08 00:00:00";"32";"2348";"4586"
"333";"2006-10-08 00:00:00";"33";"2348";"4594"
"334";"2006-10-08 00:00:00";"34";"2347";"4585"
"335";"2006-10-08 00:00:00";"35";"2339";"4599"
"336";"2006-10-08 00:00:00";"36";"2338";"4589"
"337";"2006-10-08 00:00:00";"37";"2332";"4252"
"338";"2006-10-08 00:00:00";"38";"2327";"4591"
"339";"2006-10-08 00:00:00";"39";"2293";"4668"
"340";"2006-10-08 00:00:00";"40";"2249";"4659"
"341";"2006-10-08 00:00:00";"41";"2239";"4592"
"342";"2006-10-08 00:00:00";"42";"2233";"4597"
"343";"2006-10-08 00:00:00";"43";"2219";"3968"
"344";"2006-10-08 00:00:00";"44";"2217";"4669"
"345";"2006-10-08 00:00:00";"45";"2210";"4670"
"346";"2006-10-08 00:00:00";"46";"2181";"4604"
"347";"2006-10-08 00:00:00";"47";"2151";"4590"
"348";"2006-10-08 00:00:00";"48";"2149";"3947"
"349";"2006-10-08 00:00:00";"49";"2128";"4671"
"350";"2006-10-08 00:00:00";"50";"2127";"4672"
"351";"2006-10-08 00:00:00";"51";"2125";"3612"
"352";"2006-10-08 00:00:00";"52";"2124";"4600"
"353";"2006-10-08 00:00:00";"53";"2119";"3505"
"354";"2006-10-08 00:00:00";"54";"2114";"4598"
"355";"2006-10-08 00:00:00";"55";"2114";"4673"
"356";"2006-10-08 00:00:00";"56";"2091";"4593"
"357";"2006-10-08 00:00:00";"57";"2058";"4596"
"358";"2006-10-08 00:00:00";"58";"2057";"4627"
"359";"2006-10-08 00:00:00";"59";"2045";"4674"
"360";"2006-10-08 00:00:00";"60";"2026";"4675"
"361";"2006-10-08 00:00:00";"61";"2026";"4606"
"362";"2006-10-08 00:00:00";"62";"2022";"4603"
"363";"2006-10-08 00:00:00";"63";"1998";"4602"
"364";"2006-10-08 00:00:00";"64";"1996";"4608"
"365";"2006-10-08 00:00:00";"65";"1983";"4605"
"366";"2006-10-08 00:00:00";"66";"1981";"4607"
"367";"2006-10-08 00:00:00";"67";"1981";"4601"
"368";"2006-10-08 00:00:00";"68";"1953";"4610"
"369";"2006-10-08 00:00:00";"69";"1943";"4612"
"370";"2006-10-08 00:00:00";"70";"1942";"4609"
"371";"2006-10-08 00:00:00";"71";"1926";"4676"
"372";"2006-10-08 00:00:00";"72";"1913";"3627"
"373";"2006-10-08 00:00:00";"73";"1909";"3591"
"374";"2006-10-08 00:00:00";"74";"1890";"3910"
"375";"2006-10-08 00:00:00";"75";"1871";"4614"
"376";"2006-10-08 00:00:00";"76";"1867";"4611"
"377";"2006-10-08 00:00:00";"77";"1865";"4616"
"378";"2006-10-08 00:00:00";"78";"1855";"4677"
"379";"2006-10-08 00:00:00";"79";"1847";"3555"
"380";"2006-10-08 00:00:00";"80";"1818";"4678"
"381";"2006-10-08 00:00:00";"81";"1817";"4619"
"382";"2006-10-08 00:00:00";"82";"1788";"3443"
"383";"2006-10-08 00:00:00";"83";"1787";"4679"
"384";"2006-10-08 00:00:00";"84";"1784";"4617"
"385";"2006-10-08 00:00:00";"85";"1783";"4622"
"386";"2006-10-08 00:00:00";"86";"1774";"4308"
"387";"2006-10-08 00:00:00";"87";"1767";"3401"
"388";"2006-10-08 00:00:00";"88";"1763";"4620"
"389";"2006-10-08 00:00:00";"89";"1758";"4629"
"390";"2006-10-08 00:00:00";"90";"1756";"4680"
"391";"2006-10-08 00:00:00";"91";"1751";"4643"
"392";"2006-10-08 00:00:00";"92";"1749";"4636"
"393";"2006-10-08 00:00:00";"93";"1748";"4635"
"394";"2006-10-08 00:00:00";"94";"1747";"4621"
"395";"2006-10-08 00:00:00";"95";"1738";"3506"
"396";"2006-10-08 00:00:00";"96";"1737";"4613"
"397";"2006-10-08 00:00:00";"97";"1732";"4442"
"398";"2006-10-08 00:00:00";"98";"1710";"4623"
"399";"2006-10-08 00:00:00";"99";"1698";"4661"
"400";"2006-10-08 00:00:00";"100";"1694";"4626"
"401";"2006-10-15 00:00:00";"1";"4808";"3527"
"402";"2006-10-15 00:00:00";"2";"4168";"4574"
"403";"2006-10-15 00:00:00";"3";"3482";"3424"
"404";"2006-10-15 00:00:00";"4";"3475";"4575"
"405";"2006-10-15 00:00:00";"5";"3307";"3354"
"406";"2006-10-15 00:00:00";"6";"3255";"3875"
"407";"2006-10-15 00:00:00";"7";"2852";"3561"
"408";"2006-10-15 00:00:00";"8";"2723";"4657"
"409";"2006-10-15 00:00:00";"9";"2679";"4576"
"410";"2006-10-15 00:00:00";"10";"2669";"4577"
"411";"2006-10-15 00:00:00";"11";"2622";"4578"
"412";"2006-10-15 00:00:00";"12";"2582";"4579"
"413";"2006-10-15 00:00:00";"13";"2511";"4583"
"414";"2006-10-15 00:00:00";"14";"2503";"3360"
"415";"2006-10-15 00:00:00";"15";"2500";"3566"
"416";"2006-10-15 00:00:00";"16";"2494";"4580"
"417";"2006-10-15 00:00:00";"17";"2489";"4581"
"418";"2006-10-15 00:00:00";"18";"2460";"4658"
"419";"2006-10-15 00:00:00";"19";"2455";"4665"
"420";"2006-10-15 00:00:00";"20";"2421";"4582"
"421";"2006-10-15 00:00:00";"21";"2375";"4584"
"422";"2006-10-15 00:00:00";"22";"2372";"4589"
"423";"2006-10-15 00:00:00";"23";"2363";"4588"
"424";"2006-10-15 00:00:00";"24";"2341";"4662"
"425";"2006-10-15 00:00:00";"25";"2333";"4585"
"426";"2006-10-15 00:00:00";"26";"2320";"4599"
"427";"2006-10-15 00:00:00";"27";"2319";"4667"
"428";"2006-10-15 00:00:00";"28";"2297";"4587"
"429";"2006-10-15 00:00:00";"29";"2295";"4332"
"430";"2006-10-15 00:00:00";"30";"2289";"4586"
"431";"2006-10-15 00:00:00";"31";"2280";"4591"
"432";"2006-10-15 00:00:00";"32";"2264";"4594"
"433";"2006-10-15 00:00:00";"33";"2195";"4201"
"434";"2006-10-15 00:00:00";"34";"2168";"4252"
"435";"2006-10-15 00:00:00";"35";"2165";"4660"
"436";"2006-10-15 00:00:00";"36";"2164";"4595"
"437";"2006-10-15 00:00:00";"37";"2150";"4604"
"438";"2006-10-15 00:00:00";"38";"2139";"3505"
"439";"2006-10-15 00:00:00";"39";"2126";"4590"
"440";"2006-10-15 00:00:00";"40";"2124";"4603"
"441";"2006-10-15 00:00:00";"41";"2116";"4597"
"442";"2006-10-15 00:00:00";"42";"2113";"4600"
"443";"2006-10-15 00:00:00";"43";"2101";"4598"
"444";"2006-10-15 00:00:00";"44";"2097";"4592"
"445";"2006-10-15 00:00:00";"45";"2085";"3591"
"446";"2006-10-15 00:00:00";"46";"2072";"4672"
"447";"2006-10-15 00:00:00";"47";"2051";"4602"
"448";"2006-10-15 00:00:00";"48";"2034";"4669"
"449";"2006-10-15 00:00:00";"49";"2031";"4664"
"450";"2006-10-15 00:00:00";"50";"2017";"3968"
"451";"2006-10-15 00:00:00";"51";"2013";"3612"
"452";"2006-10-15 00:00:00";"52";"1991";"4606"
"453";"2006-10-15 00:00:00";"53";"1982";"4601"
"454";"2006-10-15 00:00:00";"54";"1973";"3947"
"455";"2006-10-15 00:00:00";"55";"1971";"4670"
"456";"2006-10-15 00:00:00";"56";"1964";"4610"
"457";"2006-10-15 00:00:00";"57";"1962";"4605"
"458";"2006-10-15 00:00:00";"58";"1960";"4596"
"459";"2006-10-15 00:00:00";"59";"1955";"4593"
"460";"2006-10-15 00:00:00";"60";"1943";"3555"
"461";"2006-10-15 00:00:00";"61";"1914";"3910"
"462";"2006-10-15 00:00:00";"62";"1910";"4671"
"463";"2006-10-15 00:00:00";"63";"1909";"4675"
"464";"2006-10-15 00:00:00";"64";"1900";"4607"
"465";"2006-10-15 00:00:00";"65";"1890";"4611"
"466";"2006-10-15 00:00:00";"66";"1883";"4673"
"467";"2006-10-15 00:00:00";"67";"1876";"4608"
"468";"2006-10-15 00:00:00";"68";"1857";"4609"
"469";"2006-10-15 00:00:00";"69";"1853";"4614"
"470";"2006-10-15 00:00:00";"70";"1848";"4616"
"471";"2006-10-15 00:00:00";"71";"1838";"4612"
"472";"2006-10-15 00:00:00";"72";"1832";"4627"
"473";"2006-10-15 00:00:00";"73";"1824";"3627"
"474";"2006-10-15 00:00:00";"74";"1809";"4619"
"475";"2006-10-15 00:00:00";"75";"1807";"4622"
"476";"2006-10-15 00:00:00";"76";"1786";"4674"
"477";"2006-10-15 00:00:00";"77";"1777";"4643"
