"album_id";"name";"lastfm_playcount";"lastfm_listeners"
"381";"I Kissed A Girl";"24021";"989"
"382";"Rumour Has It / Someone Like You";"11563";"1896"
"383";"I'm the Only One";"387";"79"
"384";"Constant Craving";"1163";"122"
"385";"Take Care";"11723017";"459898"
"386";"Waking Up";"10629345";"762469"
"387";"Judge Jerrod & The Hung Jury";"529162";"118638"
"388";"Loud";"0";"0"
"389";"Charleston, SC 1966";"0";"0"
"390";"I Can't Go For That / You Make My Dreams";"1096";"85"
"391";"Femme Fatale";"0";"0"
"392";"Hit Me With Your Best Shot / One Way or Another";"0";"1"
"393";"Uptown Girl";"3909";"400"
"394";"Ronnie Dunn";"178978";"43543"
"395";"Here For A Good Time";"182183";"39930"
"396";"Whatever";"1316382";"98957"
"397";"Take A Back Road";"296205";"52219"
"398";"Last Friday Night";"2909";"573"
"399";"Born This Way";"37175501";"588089"
"400";"Finally Famous";"1555434";"200065"
"401";"All I Want Is You";"1830411";"230079"
"402";"Proud To Be Here";"76676";"21456"
"403";"Calling All the Monsters";"22290";"6651"
"404";"Evanescence";"5434275";"135344"
"405";"Fix You";"2694";"483"
"406";"Run The World (Girls)";"0";"1"
"407";"Love Don't Run";"32299";"11132"
"408";"Rolling Papers";"5805618";"347860"
"409";"Gucci Gucci";"342974";"95938"
"410";"Wasting Light";"16021636";"615574"
"411";"It's Not Unusual";"3809";"410"
"412";"You Can't Stop The Beat";"2600";"281"
"413";"We Got the Beat";"3201";"270"
"414";"Enjoy Yourself";"511060";"115091"
"415";"Let Them Talk";"2890408";"81245"
"416";"Duets II";"645612";"79953"
"417";"Hell On Heels";"462106";"50817"
"418";"Save Me, San Francisco";"3003351";"409852"
"419";"F.A.M.E.";"2351547";"168662"
"420";"Hands All Over";"0";"0"
"421";"Lasers";"4092994";"226449"
"422";"American Capitalist";"3691864";"133784"
"423";"Young Love";"2006471";"139697"
"424";"Hello Fear";"177927";"17974"
"425";"I'm On One";"54738";"2115"
"426";"Blood, Sweat & Tears";"17488";"2664"
"427";"Cannibal";"6696384";"466239"
"428";"Teenage Dream";"0";"0"
"429";"The Band Perry";"1669823";"187401"
"430";"Holding Onto Strings Better Left to Fray";"879810";"77327"
"431";"A Thousand Suns";"16538967";"356757"
"432";"Haywire";"481495";"129620"
"433";"Stitch By Stitch";"2937";"359"
"434";"Meet the Orphans";"564350";"97091"
"435";"Inventing Shadows";"3953";"729"
"436";"Revolution";"1700058";"232051"
"437";"The Bling Ring: Original Motion Picture Soundtrack";"6312";"469"
"438";"Today Is Your Day";"19713";"3353"
"439";"Fastlife";"580495";"40880"
"440";"Monster";"486475";"67764"
"441";"Nothing Like This";"348903";"44110"
"442";"Bullets In The Gun";"79598";"15690"
"443";"Eleven";"95680";"11073"
"444";"Wildflower";"203877";"24634"
"445";"Cat Daddy";"32363";"14255"
"446";"Danger Days: The True Lives of the Fabulous Killjoys";"10941519";"250012"
"447";"(It) Feels So Good";"22610";"6289"
"448";"Glee: The Music, The Complete Season Two";"702368";"7609"
"449";"BTR";"1174093";"77140"
"450";"Where Country Grows";"43327";"9773"
"451";"Club Going Crazy";"44667";"24889"
"452";"Passion, Pain & Pleasure";"0";"1"
"453";"I Am Woman";"23156";"7202"
"454";"Hell: The Sequel";"1325740";"135257"
"455";"Not Ready To Die";"77845";"11378"
"456";"Greatest Hits... So Far!!!";"1509486";"55493"
"457";"Are You Gonna Kiss Me Or Not";"233755";"104887"
"458";"Craig Campbell";"152170";"36714"
"459";"No Boys Allowed";"1396233";"191617"
"460";"I Remember Me";"731096";"74677"
"461";"The Incredible Machine";"466333";"53827"
"462";"Georgia Clay";"98921";"19425"
"463";"Need You Now";"4324025";"424901"
"464";"Bravo Black Hits, Volume 24";"170";"64"
"465";"Loaded: The Best of Blake Shelton";"315019";"47833"
"466";"Number One Hits";"667737";"61628"
"467";"The Man I Want To Be";"0";"1"
"468";"High Maintenance";"187404";"19717"
"469";"Doin' My Thing";"1157077";"233459"
"470";"What Are Words";"274646";"37006"
"471";"The JaneDear Girls";"48493";"5864"
"472";"Promo Only: Country Radio, September 2010";"52";"28"
"473";"King Of Hearts";"457968";"87157"
"474";"My World 2.0";"4139782";"276976"
"475";"Sigh No More";"0";"0"
"476";"Do The John Wall";"47947";"18543"
"477";"Wonders of the Younger";"1051426";"86900"
"478";"31 Minutes to Takeoff";"2567462";"297363"
"479";"Time of My Life";"1750393";"80017"
"480";"Endgame";"10163044";"273900"
"481";"Play On";"2862080";"271969"
"482";"Some Kind of Trouble";"2532515";"107771"
"483";"Brothers";"0";"1"
"484";"Country Strong: More Music from the Motion Picture";"438";"27"
"485";"Twang";"147848";"20032"
"486";"Stuck Like Glue";"195877";"88636"
"487";"American Saturday Night";"0";"0"
"488";"I'm Alive, I'm Dreaming";"525936";"38097"
"489";"A Year Without Rain";"1942611";"156988"
"490";"The Preview";"1385957";"208779"
"491";"Hit It Again";"9264";"1204"
"492";"Christmas Lights";"637619";"143602"
"493";"Love Letter";"436888";"48418"
"494";"Leave This Town";"0";"0"
"495";"Merry Christmas II You";"928909";"62351"
"496";"Strip Me";"823029";"75795"
"497";"Animal";"0";"0"
"498";"Kaleidoscope Heart";"4364299";"250471"
"499";"Cowboy's Back In Town";"89104";"19367"
"500";"Man on the Moon II: The Legend of Mr. Rager";"7426507";"404278"
"501";"It's America";"1369527";"309546"
"502";"For Your Entertainment";"10168706";"387904"
"503";"Streets of Gold";"0";"0"
"504";"Still Standing";"661268";"134184"
"505";"Come Around Sundown";"16126510";"627932"
"506";"Recovery";"23640696";"1282071"
"507";"Way Out Here";"0";"1"
"508";"Pink Friday";"10633498";"550638"
"509";"Brand New Eyes";"34337526";"723058"
"510";"On Your Side";"3071107";"83899"
"511";"The Nino Brown Mixtape";"0";"1"
"512";"Thank Me Later";"8528876";"395031"
"513";"The Script";"11817588";"792456"
"514";"Back To Me";"394146";"70504"
"515";"Love Like Crazy";"695711";"178079"
"516";"Hold You";"185385";"32368"
"517";"That's Why";"256437";"84466"
"518";"La Roux";"17616586";"659168"
"519";"The Fame Monster";"35580786";"1266440"
"520";"Sparks Fly";"981295";"122604"
"521";"Cradlesong";"1133990";"80513"
"522";"The Element of Freedom";"6966615";"534519"
"523";"Telephantasm";"567816";"83492"
"524";"Dark Horse";"12391841";"526150"
"525";"Breakthrough";"3036085";"297709"
"526";"Wide Open";"1236623";"228059"
"527";"Nightmare";"13351316";"294914"
"528";"She Won't Be Lonely Long";"85671";"20031"
"529";"Alternative Times, Volume 114";"117";"56"
"530";"Can't Be Tamed";"7052718";"302797"
"531";"Hannah Montana Forever";"1158";"111"
"532";"Now That’s What I Call Music! 76";"1043";"74"
"533";"Old Things New";"184937";"67300"
"534";"Ready";"2172875";"134201"
"535";"Promo Only: Country Radio, March 2010";"116";"44"
"536";"No Mercy";"1812322";"123499"
"537";"Asylum";"5485516";"143499"
"538";"Replay";"0";"1"
"539";"Another Round";"173267";"19268"
"540";"Glee: The Music: Journey To Regionals";"6416";"657"
"541";"Glee: The Music, Volume 1";"3177019";"233031"
"542";"Bionic";"0";"0"
"543";"Glee: The Music: Best Of Season One";"2750";"579"
