"artist_id";"album_id"
"1441";"915"
"1441";"1138"
"1441";"1214"
"1446";"870"
"1446";"979"
"1446";"1053"
"1446";"1155"
"1447";"761"
"1447";"946"
"1450";"763"
"1450";"973"
"1450";"1105"
"1450";"1210"
"1454";"766"
"1458";"768"
"1458";"1135"
"1461";"769"
"1466";"773"
"1469";"774"
"1469";"908"
"1471";"776"
"1471";"1262"
"1475";"780"
"1475";"1058"
"1475";"1268"
"1475";"1269"
"1475";"1272"
"1475";"1274"
"1475";"1275"
"1475";"1474"
"1479";"781"
"1486";"783"
"1489";"786"
"1489";"1253"
"1491";"787"
"1492";"789"
"1492";"1172"
"1493";"823"
"1497";"791"
"1503";"794"
"1504";"795"
"1504";"916"
"1510";"799"
"1511";"800"
"1517";"802"
"1518";"1283"
"1518";"1328"
"1518";"1329"
"1518";"1330"
"1518";"1331"
"1518";"1336"
"1518";"1337"
"1518";"1338"
"1518";"1390"
"1518";"1461"
"1518";"1469"
"1519";"804"
"1526";"808"
"1528";"809"
"1528";"957"
"1528";"967"
"1543";"814"
"1544";"815"
"1551";"818"
"1552";"819"
"1552";"1160"
"1552";"1250"
"1561";"829"
"1561";"1317"
"1561";"1327"
"1561";"1497"
"1567";"1126"
"1568";"832"
"1568";"1000"
"1576";"841"
"1577";"842"
"1588";"851"
"1590";"852"
"1590";"897"
"1591";"1102"
"1593";"853"
"1596";"881"
"1597";"855"
"1602";"1513"
"1606";"857"
"1607";"858"
"1607";"1056"
"1612";"1211"
"1613";"860"
"1613";"1124"
"1613";"1307"
"1613";"1311"
"1614";"863"
"1617";"1222"
"1618";"866"
"1624";"868"
"1630";"874"
"1632";"876"
"1632";"1289"
"1634";"877"
"1634";"883"
"1634";"1313"
"1634";"1314"
"1634";"1554"
"1634";"1819"
"1635";"878"
"1638";"879"
"1644";"888"
"1649";"894"
"1653";"895"
"1653";"935"
"1653";"1231"
"1654";"1243"
"1658";"899"
"1658";"1116"
"1660";"902"
"1661";"1168"
"1666";"906"
"1674";"909"
"1674";"1195"
"1674";"1821"
"1676";"1084"
"1677";"911"
"1679";"912"
"1680";"913"
"1680";"1384"
"1680";"1387"
"1681";"914"
"1684";"917"
"1684";"1030"
"1684";"1075"
"1684";"1352"
"1684";"1354"
"1684";"1673"
"1685";"918"
"1692";"921"
"1692";"968"
"1695";"923"
"1697";"925"
"1701";"928"
"1702";"929"
"1703";"930"
"1704";"931"
"1707";"933"
"1707";"1266"
"1707";"1282"
"1707";"1519"
"1708";"966"
"1709";"934"
"1712";"937"
"1717";"942"
"1724";"950"
"1725";"951"
"1725";"953"
"1727";"1110"
"1728";"1215"
"1730";"1143"
"1733";"952"
"1736";"954"
"1738";"955"
"1738";"1201"
"1739";"956"
"1745";"1127"
"1747";"960"
"1748";"961"
"1755";"965"
"1763";"983"
"1768";"969"
"1771";"971"
"1772";"972"
"1777";"975"
"1778";"977"
"1778";"1147"
"1778";"1365"
"1779";"978"
"1781";"1007"
"1787";"981"
"1787";"1122"
"1788";"982"
"1792";"984"
"1792";"1063"
"1792";"1183"
"1796";"987"
"1798";"988"
"1799";"989"
"1799";"1083"
"1799";"1237"
"1800";"991"
"1801";"992"
"1803";"993"
"1806";"997"
"1806";"1177"
"1810";"1001"
"1811";"1002"
"1814";"1004"
"1816";"1005"
"1817";"1006"
"1820";"1008"
"1822";"1011"
"1829";"1014"
"1831";"1017"
"1835";"1020"
"1836";"1021"
"1848";"1032"
"1848";"1227"
"1848";"1371"
"1848";"1625"
"1852";"1043"
"1854";"1036"
"1854";"1042"
"1855";"1037"
"1856";"1416"
"1856";"1417"
"1856";"1452"
"1857";"1040"
"1858";"1041"
"1859";"1044"
"1864";"1045"
"1865";"1048"
"1866";"1050"
"1866";"1181"
"1866";"1793"
"1874";"1054"
"1888";"1071"
"1888";"1099"
"1890";"1073"
"1898";"1077"
"1901";"1080"
"1902";"1081"
"1904";"1082"
"1907";"1086"
"1908";"1170"
"1909";"1087"
"1909";"1631"
"1910";"1088"
"1915";"1190"
"1915";"1369"
"1915";"1672"
"1916";"1091"
"1916";"1130"
"1918";"1092"
"1918";"1458"
"1918";"1460"
"1918";"1614"
"1921";"1115"
"1922";"1094"
"1923";"1095"
"1924";"1096"
"1927";"1098"
"1932";"1103"
"1933";"1104"
"1935";"1106"
"1938";"1107"
"1940";"1108"
"1940";"1164"
"1941";"1109"
"1943";"1111"
"1944";"1113"
"1944";"1293"
"1944";"1359"
"1944";"1705"
"1949";"1165"
"1950";"1117"
"1954";"1120"
"1965";"1128"
"1966";"1129"
"1972";"1204"
"1975";"1137"
"1977";"1140"
"1984";"1145"
"1988";"1151"
"1988";"1656"
"1988";"1657"
"1992";"1156"
"1993";"1157"
"1994";"1166"
"1997";"1161"
"1998";"1162"
"1998";"1351"
"1998";"1533"
"2007";"1167"
"2007";"1265"
"2011";"1333"
"2011";"1443"
"2012";"1169"
"2016";"1174"
"2018";"1175"
"2024";"1176"
